#nameDisplay		India 2011 L1	India 2011 L2	India 2011 L3	India 2011 Multilingual
#isoRegionCode	IN				
#yearCollected	2011				
#url	http://www.censusindia.gov.in/2011census/C-17.html				
#tableName	C-17: Population by bilingualism and trilingualism				
#columnName			1st subsidiary languages	2nd subsidiary languages	
#collectorName	Office of the Registrar General & Census Commissioner, India				
#collectorType	Government				
#dateAccessed	2025-03-21				
#geographicScope	Whole Country				
#age	Any				
#gender	Any				
#modality	Spoken				
#acquisitionOrder		L1	L2	L3	Any
#domain	Home				
#responsesPerIndividual	1				
#sampleRate	1				
#eligiblePopulation	1,210,854,977				
#languagesIncluded	122 Major language groups				
#notes			Added together from appearance in multiple rows	Added together from appearance in multiple rows	Summed up from the other data
Language Code	Language Name	Population by Mothertongue			
adi	ADI	248,834	1,849	906	251,589
pus	AFGHANI/KABULI/PASHTO	21,677	743	450	22,870
anm	ANAL	27,217	250	283	27,750
njm	ANGAMI	152,796	20,154	7,733	180,683
njo	AO	260,008	5,157	4,628	269,793
ara	ARABIC/ARBI	54,947	1,498,642	780,713	2,334,302
asm	ASSAMESE	15,311,351	7,583,346	734,379	23,629,076
bft	BALTI	13,774	1,243	851	15,868
ben	BENGALI	97,237,669	9,095,810	1,138,764	107,472,243
bhb	BHILI/BHILODI	10,413,637	140,167	20,770	10,574,574
sip	BHOTIA	229,954	5,451	2,269	237,674
bhum1234	BHUMIJ	27,506	1,855	561	29,922
bpy	BISHNUPURIYA	79,646	1,404	163	81,213
brx	BODO	1,482,929	57,583	20,132	1,560,644
und	CHAKHESANG	19,846	850	193	20,889
nri	CHAKRU/CHOKRI	91,216	1,564	1,076	93,856
nbc	CHANG	66,852	1,120	719	68,691
kfa	COORGI/KODAGU	113,857	15,420	19,922	149,199
der	DEORI	32,376	1,699	291	34,366
dis	DIMASA	137,184	1,202	769	139,155
doi	DOGRI	2,596,767	126,334	40,883	2,763,984
eng	ENGLISH	259,678	82,717,239	45,562,173	128,539,090
gdb	GADABA	40,976	4,130	429	45,535
gnb	GANGTE	16,542	2,805	3,821	23,168
grt	GARO	1,145,323	25,298	16,938	1,187,559
gon	GONDI	2,984,453	202,053	42,413	3,228,919
guj	GUJARATI	55,492,554	4,017,825	778,930	60,289,309
hlb	HALABI	766,297	190,107	49,070	1,005,474
cfm	HALAM	38,915	946	754	40,615
hin	HINDI	528,347,193	138,909,608	24,307,234	691,564,035
hmr	HMAR	98,988	7,179	3,249	109,416
hoc	HO	1,421,418	72,056	45,061	1,538,535
kxv	JATAPU	20,028	8,736	79	28,843
jun	JUANG	30,378	1,605	18	32,001
nkf	KABUI	122,931	2,841	1,117	126,889
kan	KANNADA	43,706,512	13,609,709	1,434,578	58,750,799
mjw	KARBI/MIKIR	528,503	17,462	5,125	551,090
kas	KASHMIRI	6,797,587	127,039	70,197	6,994,823
khn	KHANDESHI	1,860,236	444,376	73,594	2,378,206
khr	KHARIA	297,614	13,001	2,229	312,844
kha	KHASI	1,431,344	96,366	14,020	1,541,730
nkh	KHEZHA	41,625	810	359	42,794
kix	KHIEMNUNGAN	61,983	136	84	62,203
khon1247	KHOND/KONDH	155,548	17,789	1,025	174,362
kfk	KINNAURI	83,561	446	190	84,197
xis	KISAN	206,100	15,980	1,483	223,563
kdq	KOCH	36,434	346	246	37,026
cdz	KODA/KORA	47,268	3,095	103	50,466
kfb	KOLAMI	128,451	9,008	493	137,952
kmm	KOM	15,108	142	410	15,660
kfc	KONDA	60,699	8,485	903	70,087
kok	KONKANI	2,256,502	238,345	87,134	2,581,981
nbe	KONYAK	244,477	462	429	245,368
kfq	KORKU	727,133	14,479	4,673	746,285
ksz	KORWA	28,453	1,541	533	30,527
kff	KOYA	407,423	16,718	2,101	426,242
uki	KUI	941,488	78,652	4,992	1,025,132
und	KUKI	83,968	2,748	2,822	89,538
kru	KURUKH/ORAON	1,988,350	119,358	6,412	2,114,120
lbj	LADAKHI	14,952	3,087	1,471	19,510
laha1255	LAHAULI	11,574	69	25	11,668
skr	LAHNDA	108,791	7,808	2,680	119,279
mrh	LAKHER	42,429	1,660	489	44,578
lax	LALUNG	33,921	879	207	35,007
lep	LEPCHA	47,331	5,071	789	53,191
njn	LIANGMEI	49,811	862	633	51,306
lif	LIMBU	40,835	2,713	499	44,047
njh	LOTHA	179,467	997	633	181,097
