Glottocode	Parent Glottocode	Node Name	ISO Code	family_id	level	latitude	longitude
3adt1234	nort3292	3Ad-Tekles		afro1255	dialect		
aala1237	ramo1244	Aalawa		aust1307	dialect		
aant1238	nort2920	Aantantara		nucl1709	dialect		
aari1238	ahkk1235	Aari	aiz	sout2845	family		
aari1239	aari1238		aiw	sout2845	language	5.95034	36.5721
aari1240	book1242	Aariya	aay	book1242	language		
aasa1238	sout3054	Aasax	aas	afro1255	language	-4.00679	36.8648
aasd1234	ferr1240	Aasdring		indo1319	dialect		
aata1238	sout2943	Aatasaara		nucl1709	dialect		
abaa1238	nort3305	Rngaba		sino1245	dialect		
abab1239	beja1238	Ababda		afro1255	dialect		
abab1240	ngom1276	Ababuan		atla1278	family		
abad1240	adyg1241	Abadzex		abkh1242	dialect		
abad1241	west2850	Abadi	kbt	aust1307	language	-9.03389	146.992
abad1242	fars1256	Abadei		indo1319	dialect		
abad1243	khuz1234	Abadani		indo1319	dialect		
abag1245	unun9976	Abaga	abg	nucl1709	language	-6.12028	145.665
abai1239	lund1271	Abai		aust1307	dialect		
abai1240	pait1248	Abai Sungai	abf	aust1307	language	5.55394	118.306
abai1241	muru1275	Abai Tubu-Abai Sembuak		aust1307	language	3.524226	116.162455
abaj1234	mexi1248	Abajeño Mexican Spanish		indo1319	dialect		
abak1242	anaa1238	Abak		atla1278	dialect		
abak1243	ilon1239	Abaka		aust1307	dialect		
abal1238	yele1255	Abaletti		yele1255	dialect		
abam1239	wipi1242	Abam		east2503	dialect		
aban1242	aban1245	Abanyom	abm	atla1278	language	6.30619	8.63055
aban1243	east2551	Abancay		quec1387	dialect		
aban1245	nort3374	Abanyom-Nkem-Nkum		atla1278	family		
abar1238	yemn1234	Mungbam	mij	atla1278	language	6.5805	10.2267
abar1239	mung1275	Abar		atla1278	dialect		
abau1245	sepi1257	Abau	aau	sepi1257	language	-3.97222	141.324
abay1238	agwa1247	Abayongo		atla1278	dialect		
abaz1241	abkh1243	Abaza	abq	abkh1242	language	44.25	42
abbe1238	abee1242	Abbey-Ve		atla1278	dialect		
abbr1238	sout3309	Abbruzzesi		indo1319	dialect		
abch1234	nayi1242	Abchuya'i		indo1319	dialect		
abda1238	soqo1240	Abd Al-Kuri		afro1255	dialect	12.1959	52.2282
abed1238	lugb1240	Abedju-Azaki		cent2225	dialect		
abee1242	agne1238	Abé	aba	atla1278	language	5.59682	-4.38497
abee1243	anyi1245	Abe (Anyin)		atla1278	dialect		
abel1234	samb1319	Abellen-Botolan		aust1307	family		
aben1247	garo1247	Abeng		sino1245	dialect		
