Glottocode	ISO Code
indo1319	ine
sino1245	sit
indo1320	iir
indo1321	inc
germ1287	gem
ital1284	itc
slav1255	sla
east2280	bat
celt1248	cel
arme1241	hyx
iran1269	ira
gree1276	grk
west2793	gmw
nort3160	gmq
east2805	gme
afro1255	afa
aust1307	map
atla1278	alv
drav1251	dra
aust1305	aav
chad1250	cdc
cush1243	cus
semi1276	sem
mala1545	poz
cent2225	csu
nubi1251	nub
sign1238	sgn
japo1237	jpx
otom1299	omq
maya1287	myn
eski1264	esx
krua1234	kro
hmon1336	hmx
ural1272	urj
nucl1709	ngf
turk1311	trk
mong1329	xgn
tung1282	tuw
clas1258	cls
vedi1234	vsn
emil1243	eml
kare1337	kar
algo1257	alg
algi1248	aql
araw1281	awd
midd1364	axm
utoa1244	azc
bami1239	bai
chib1249	cba
cadd1255	cdd
cham1330	cmc
midd1380	cnx
land1261	day
egyp1245	egx
east2872	ekc
sout2711	ggo
mars1253	ims
iroq1247	iro
kpel1252	kpe
leng1262	leg
mano1276	mno
muya1239	mvm
oldb1248	obt
ojib1241	oji
oldk1249	okz
oldm1243	omy
pael1234	pgn
east2712	pqe
roma1334	roa
sali1255	sal
siou1252	sio
sard1257	srd
samo1298	syd
waka1280	wak
east1426	zle
sout3147	zls
west2792	zlw
berb1260	ber
mand1469	dmn
ijoo1239	ijo
yupi1267	ypk
geji1247	gji
mund1335	mun
