Language Code	Glottocode	Display Name	Endonym	Medium	Biggest Script	Ethnologue Vitality 2013	Ethnologue Vitality 2025	Eth Digital Support	Adjusted Populaiton	Population	Parent Language	Parent Glottocode	Recommendation	Recommendation Reason
zho	sini1245	Chinese (macrolanguage)	中文	Spoken & Written	Hans	National			0	1,296,041,185		sino1245	Yes, with caveat	Huge macrolanguage category with very distinct constituents -- try to include those as well as this, this usually signifies the written form, regardless of spoken language
eng	stan1293	English	English	Spoken & Written	Latn	National	1 Institutional	Thriving	0	1,243,492,288		macr1271	Yes	
cmn	mand1415	Mandarin Chinese	普通话	Mostly Spoken (but also written)	Hans	National	1 Institutional	Thriving	0	951,666,932	zho	mand1471	Yes, with caveat	Established variant of a macrolanguage -- many systems may label this as `zh` but it is much clearer to show both, even though there is overlap
hin	hind1269	Hindi	हिन्दी	Spoken & Written	Deva	National	1 Institutional	Thriving	0	694,325,639		hind1270	Yes	
spa	stan1288	Spanish	español	Spoken & Written	Latn	National	1 Institutional	Thriving	0	495,294,882		cast1243	Yes	
ara	arab1395	Arabic	العربية	Written	Arab	National			0	345,771,433		arab1394	Yes, with caveat	Member languages are also good to include because of significant dialectal variations
fra	stan1290	French	français	Spoken & Written	Latn	National	1 Institutional	Thriving	0	314,723,138		glob1239	Yes	
ben	beng1280	Bengali	বাংলা	Spoken & Written	Beng	National	1 Institutional	Vital	0	269,324,750		gaud1238	Yes	
por	port1283	Portuguese	português	Spoken & Written	Latn	National	1 Institutional	Thriving	0	237,766,546		braz1247	Yes	
msa	mala1538	Malay (macrolanguage)	Melayu	Spoken & Written	Latn				0	215,343,873		mala1554	Yes	There is a language code for the individual language, but most usages will just use this
ind	indo1316	Indonesian	Indonesia	Spoken & Written	Latn	National	1 Institutional	Thriving	0	198,413,080	msa	stan1327	Yes	Well established variant of the macrolanguage
rus	russ1263	Russian	русский	Spoken & Written	Cyrl	National	1 Institutional	Thriving	0	192,723,175		east1426	Yes	
urd	urdu1245	Urdu	اردو	Spoken & Written	Arab	National	1 Institutional	Vital	0	177,411,858		hind1270	Yes	
swa	swah1254	Swahili (macrolanguage)	Kiswahili	Spoken & Written	Latn				0	152,711,966		saba1282	Yes	There is a language code for the individual language, but most usages will just use this
deu	stan1295	German	Deutsch	Spoken & Written	Latn	National	1 Institutional	Thriving	0	129,811,629		glob1243	Yes	
pan	panj1256	Punjabi	ਪੰਜਾਬੀ	Spoken & Written	Guru	Provincial	1 Institutional	Vital	0	128,655,912		east2727	Yes	
jpn	nucl1643	Japanese	日本語	Spoken & Written	Jpan	National	1 Institutional	Thriving	0	120,858,498		japa1258	Yes	
arb	stan1318	Standard Arabic	العربية الفصحى	Written	Arab	National	1 Institutional	Thriving	0	120,650,002	ara	arab1395	Yes, with caveat	To distinguish written dialect. Technically this is not a spoken language but virtually all literate Arabic dialect speakers use this for writing Arabic
lah	lahn1241	Lahnda (macrolanguage)	ਲਹਿੰਦੀ	Mostly Spoken (but also written)	Arab				0	104,863,350		sind1278	Probably not	This language grouping is academically disputed
mar	mara1378	Marathi	मराठी	Spoken & Written	Deva	Provincial	1 Institutional	Vital	0	99,241,607		mode1268	Yes	
tel	telu1262	Telugu	తెలుగు	Spoken & Written	Telu	Provincial	1 Institutional	Vital	0	95,058,027		telu1265	Yes	
pnb	west2386	Western Panjabi	ਪੰਜਾਬੀ	Mostly Spoken (but also written)	Arab	Developing	2 Stable	Ascending	0	92,610,000	lah	lahn1241	Possibly	May overlap with "pa"
tam	tami1289	Tamil	தமிழ்	Spoken & Written	Taml	Provincial	1 Institutional	Thriving	0	84,433,131		tami1300	Yes	
vie	viet1252	Vietnamese	tiếng Việt	Spoken & Written	Latn	National	1 Institutional	Thriving	0	83,878,768		viet1251	Yes	
fas	fars1255	Persian (macrolanguage)	فارسی	Spoken & Written	Arab				0	82,184,394		fars1254	Yes, with caveat	In spoken context its member languages are very different
yue	yuec1235	Yue Chinese	粵語	Mostly Spoken (but also written)	Hant	Provincial	1 Institutional	Vital	0	81,036,897	zho	yuep1234	Yes	Established variant of a macrolanguage
tur	nucl1301	Turkish	Türkçe	Spoken & Written	Latn	National	1 Institutional	Thriving	0	80,031,468		west2406	Yes	
kor	kore1280	Korean	한국어	Spoken & Written	Kore	National	1 Institutional	Thriving	0	77,718,059		kore1284	Yes	
wuu	wuch1236	Wu Chinese	吳語	Mostly Spoken (but also written)	Hans	Developing	2 Stable	Ascending	0	77,216,330	zho	wuhu1234	Yes	Established variant of a macrolanguage
ita	ital1282	Italian	Italiano	Spoken & Written	Latn	National	1 Institutional	Thriving	0	70,677,996		ital1287	Yes	
jav	java1254	Javanese	Jawa	Mostly Spoken (but also written)	Latn	Provincial	1 Institutional	Vital	0	68,500,495		glob1245	Yes	
guj	guja1252	Gujarati	ગુજરાતી	Spoken & Written	Gujr	Provincial	1 Institutional	Vital	0	62,854,955		guja1256	Yes	
arz	egyp1253	Egyptian Arabic	arz	Mostly Spoken (but also written)	Arab	Wider Communication	1 Institutional	Ascending	0	62,300,000	ara	egyp1254	Yes, with caveat	To distinguish spoken dialect
pus	nucl1276	Pashto	پښتو	Spoken & Written	Arab				0	61,809,847		pash1269	Yes	
kan	nucl1305	Kannada	ಕನ್ನಡ	Spoken & Written	Knda	Provincial	1 Institutional	Vital	0	58,854,873		kann1255	Yes	
hau	haus1257	Hausa	Hausa	Spoken & Written	Latn	Provincial	1 Institutional	Vital	0	57,514,625		west2718	Yes	
tha	thai1261	Thai	ไทย	Spoken & Written	Thai	National	1 Institutional	Thriving	0	55,082,467		laot1235	Yes	
bho	bhoj1244	Bhojpuri	भोजपुरी	Mostly Spoken (but also written)	Deva	Educational	1 Institutional	Vital	0	52,645,994		bhoj1246	Yes	
pes	west2369	Iranian Persian	فارسی	Mostly Spoken (but also written)	Arab	National	1 Institutional	Vital	0	49,600,000	fas	fars1255	Yes, with caveat	Very different spoken than Afghan Dari
fil	fili1244	Filipino	Filipino	Spoken & Written	Latn	National	1 Institutional	Vital	0	47,099,332		taga1269	Yes, with caveat	Tagalog [tgl] as a language code is usually intended for the native language of the people of the Manila area, whereas Filipino [fil] is the modern lingua franca of the country with significant Spanish and English influences.
swh	swah1253	Swahili (individual language)	kiswahili	Spoken & Written	Latn	National	1 Institutional	Vital	0	47,000,000	swa	momb1256	Probably not	It is the "individual" version of the macrolanguage code
cjy	jiny1235	Jinyu Chinese	晋语	Mostly Spoken (but also written)	Hans	Vigorous	2 Stable	Emerging	0	45,000,000	zho	nort3155	Yes	Established variant of a macrolanguage
tgl	taga1270	Tagalog	Tagálog	Spoken & Written	Latn	Wider Communication	1 Institutional	Vital	0	43,331,201		taga1269	Yes, with caveat	Tagalog [tgl] as a language code is usually intended for the native language of the people of the Manila area, whereas Filipino [fil] is the modern lingua franca of the country with significant Spanish and English influences.
ori	macr1269	Oriya (macrolanguage)	ଓଡ଼ିଆ	Spoken & Written	Orya				0	42,597,953		oriy1254	Yes	There is a language code for the individual language, but most usages will just use this
mya	nucl1310	Burmese	မြန်မာဘာသာ	Spoken & Written	Mymr	National	1 Institutional	Vital	0	42,442,391		nucl1811	Yes	
pol	poli1260	Polish	polski	Spoken & Written	Latn	National	1 Institutional	Thriving	0	41,661,928		poli1262	Yes	
nan	minn1241	Min Nan Chinese	閩南語	Mostly Spoken (but also written)	Hans	Vigorous	1 Institutional	Ascending	0	41,517,875	zho	coas1318	Yes	Established variant of a macrolanguage
yor	yoru1245	Yoruba	Yorùbá	Spoken & Written	Latn		1 Institutional	Vital	0	40,517,824		lucu1239	Yes	
apc	nort3139	Levantine Arabic	‫العامية‬	Spoken	Arab	Wider Communication	1 Institutional	Ascending	0	38,918,210	ara	leva1239	Yes, with caveat	To distinguish spoken dialect
snd	sind1272	Sindhi	سِنڌِي	Mostly Spoken (but also written)	Arab	Provincial	1 Institutional	Vital	0	37,521,450		sind1282	Yes	
mal	mala1464	Malayalam	മലയാളം	Spoken & Written	Mlym	Provincial	1 Institutional	Vital	0	36,709,493		mala1541	Yes	
amh	amha1245	Amharic	አማርኛ	Spoken & Written	Ethi	National	1 Institutional	Vital	0	36,113,774		amha1244	Yes	
hsn	xian1251	Xiang Chinese		Mostly Spoken (but also written)	Hans	Vigorous	2 Stable	Ascending	0	36,000,050	zho	midd1354	Yes	Established variant of a macrolanguage
orm	nucl1736	Oromo	Oromoo	Spoken & Written	Latn				0	34,995,670		nucl1701	Yes	
uzb	uzbe1247	Uzbek	O'zbek	Spoken & Written	Latn				0	34,916,016		uygh1240	Yes	
hak	hakk1236	Hakka Chinese	客家話	Spoken	Hans	Developing	1 Institutional	Ascending	0	34,476,071	zho	midd1354	Yes	Established variant of a macrolanguage
ukr	ukra1253	Ukrainian	українська	Spoken & Written	Cyrl	National	1 Institutional	Thriving	0	34,276,844		ukra1257	Yes	
ory	oriy1255	Oriya (individual language)	ଓଡ଼ିଆ	Spoken & Written	Orya	Provincial	1 Institutional	Vital	0	34,125,398	ori	macr1269	Probably not	It is the "individual" version of the macrolanguage code
sun	sund1252	Sundanese	bahasa Sunda	Spoken & Written	Latn	Developing	2 Stable	Vital	0	32,400,035		mala1545	Yes	
nld	dutc1256	Dutch	Nederlands	Spoken & Written	Latn	National	1 Institutional	Thriving	0	31,781,801		glob1241	Yes	
nep	east1436	Nepali (macrolanguage)	नेपाली	Spoken & Written	Deva				0	31,073,132		indo1310	Yes	There is a language code for the individual language, but most usages will just use this
arq	alge1239	Algerian Arabic	دريرية	Spoken	Arab	Wider Communication	1 Institutional	Ascending	0	30,590,000	ara	nort3191	Yes, with caveat	To distinguish spoken dialect
pcm	nige1257	Nigerian Pidgin	Naijá	Mostly Spoken (but also written)	Latn	Wider Communication	1 Institutional	Ascending	0	30,000,000		nige1258	Yes	
prs	dari1249	Dari	دری	Spoken & Written	Arab	National	1 Institutional	Vital	0	29,755,277	fas	east2745	Yes, with caveat	Very different spoken than Iranian Persian
ary	moro1292	Moroccan Arabic	الداريجة	Spoken	Arab	Wider Communication	1 Institutional	Ascending	0	29,490,001	ara	moro1295	Yes, with caveat	To distinguish spoken dialect
skr	sera1259	Seraiki	سرائیکی	Mostly Spoken (but also written)	Arab	Developing	2 Stable	Ascending	0	28,958,579	lah	sira1271	Yes	Well established variant of the macrolanguage
zsm	stan1306	Standard Malay	bahasa Melayu Standard	Spoken & Written	Latn	National	1 Institutional	Thriving	0	28,000,000	msa	stan1327	Possibly	But probably want to use macrolanguage
zul	zulu1248	Zulu	isiZulu	Spoken & Written	Latn	National	1 Institutional	Vital	0	27,716,894		ngun1267	Yes	
ibo	nucl1417	Igbo	Igbo	Spoken & Written	Latn	Provincial	1 Institutional	Vital	0	27,135,491		cent2417	Yes	
apd	suda1236	Sudanese Arabic		Spoken	Arab	Wider Communication	1 Institutional	Ascending	0	26,303,714	ara	east2897	Yes, with caveat	To distinguish spoken dialect
raj	raja1256	Rajasthani	राजस्थानी	Mostly Spoken (but also written)	Deva				0	25,807,062		guja1255	Yes, with caveat	Unclear linguistic boundaries
ceb	cebu1242	Cebuano	Cebuano	Mostly Spoken (but also written)	Latn	Wider Communication	1 Institutional	Vital	0	25,788,299		bisa1268	Yes	
asm	assa1263	Assamese	অসমীয়া ভাষা	Spoken & Written	Beng	Provincial	1 Institutional	Vital	0	23,631,544		assa1262	Yes	
mlg	mala1537	Malagasy	Malagasy	Spoken & Written	Latn				0	23,119,869		sout2919	Yes	
aec	said1239	Saidi Arabic	صعيدي	Spoken	Arab	Vigorous	2 Stable	Emerging	0	22,400,000	ara	egyp1254	Yes, with caveat	To distinguish spoken dialect
bar	bava1246	Bavarian	Boarisch	Mostly Spoken (but also written)	Latn	Developing	2 Stable	Ascending	0	22,031,517		baye1239	Yes	
aze	azer1255	Azerbaijani	Azərbaycan	Spoken & Written	Latn				0	21,484,844		nucl1769	Yes	
mag	maga1260	Magahi	मगही		Deva	Educational	2 Stable	Ascending	0	20,975,677		mait1254	Yes	
gan	ganc1239	Gan Chinese	贛語	Spoken	Hans	Vigorous	2 Stable	Ascending	0	20,600,000	zho	midd1354	Yes	Established variant of a macrolanguage
pbu	nort2646	Northern Pashto		Mostly Spoken (but also written)	Arab	Educational	1 Institutional	Ascending	0	20,421,700	pus	nucl1276	Possibly	But probably want to use macrolanguage
csl	chin1283	Chinese Sign Language	中國手語	Sign	Zxxx	Developing	2 Stable	Emerging	0	20,040,000		nucl1761	Yes	
ron	roma1327	Romanian	română	Spoken & Written	Latn	National	1 Institutional	Thriving	0	19,610,518		east2865	Yes	
xho	xhos1239	Xhosa	isiXhosa	Spoken & Written	Latn	National	1 Institutional	Vital	0	19,169,500		ngun1267	Yes	
afr	afri1274	Afrikaans	Afrikaans	Spoken & Written	Latn	National	1 Institutional	Vital	0	19,147,812		afri1273	Yes	
zlm	mala1479	Malay (individual language)		Spoken & Written	Latn	Wider Communication		Thriving	0	18,410,000	msa	sing1270	Probably not	It is the "individual" version of the macrolanguage code
ful	fula1264	Fulah	Fulfulde	Mostly Spoken (but also written)	Latn				0	18,152,738		peul1234	Yes, with caveat	Member languages may be very different
mai	mait1250	Maithili	मैथिली		Deva	Provincial	1 Institutional	Vital	0	17,774,304		mait1254	Yes	
kur	kurd1259	Kurdish	Kurdî (Kurmancî)	Spoken & Written	Latn				0	17,064,332		laki1246	Yes	
som	soma1255	Somali	Af-Soomaali	Spoken & Written	Latn	National	1 Institutional	Vital	0	16,619,318		east2653	Yes	
tts	nort2741	Northeastern Thai	ภาษาอีสาน	Spoken & Written	Thai	Vigorous	2 Stable	Emerging	0	16,467,806		sako1234	Yes	
hne	chha1249	Chhattisgarhi			Deva	Educational	2 Stable	Ascending	0	16,350,661		east2726	Yes	
khm	cent1989	Central Khmer	ភាសាខ្មែរ	Spoken & Written	Khmr	National	1 Institutional	Vital	0	16,129,913		khme1253	Yes	
rkt	rang1265	Rangpuri	দেশী		Beng	Developing	2 Stable	Ascending	0	15,965,000		kamt1242	Yes	
nya	nyan1308	Chichewa	chiCheŵa	Spoken & Written	Latn	Wider Communication	1 Institutional	Vital	0	15,626,318		nyan1319	Yes	
sin	sinh1246	Sinhala	සිංහල	Spoken & Written	Sinh	National	1 Institutional	Vital	0	15,418,355		sinh1247	Yes	
azj	nort2697	North Azerbaijani			Latn	National	1 Institutional	Vital	0	15,324,270	aze	azer1255	Possibly	But probably want to use macrolanguage
zha	nort3180	Zhuang	Vahcuengh	Spoken & Written	Latn				0	14,586,000		nort3326	Yes	
fuv	nige1253	Nigerian Fulfulde	Fulani	Mostly Spoken (but also written)	Latn	Wider Communication	1 Institutional	Ascending	0	14,400,000	ful	fula1265	Possibly	But probably want to use macrolanguage
que	quec1387	Quechua	Qhichwa		Latn				0	14,159,702			Yes	
kaz	kaza1248	Kazakh	қазақша	Spoken & Written	Cyrl	National	1 Institutional	Vital	0	13,744,156		sout2701	Yes	
nso	pedi1238	Northern Sotho	Sepedi	Spoken & Written	Latn	National	1 Institutional	Vital	0	13,720,000		sepe1241	Yes	
sot	sout2807	Southern Sotho	seSotho	Spoken & Written	Latn	National	1 Institutional	Vital	0	13,673,215		seso1234	Yes	
tsn	tswa1253	Tswana	seTswana	Spoken & Written	Latn	National	1 Institutional	Vital	0	13,209,853		cent2406	Yes	
ces	czec1258	Czech	čeština	Spoken & Written	Latn	National	1 Institutional	Thriving	0	13,113,123		czec1260	Yes	
ctg	chit1275	Chittagonian	চাঁটগাঁইয়া		Beng	Wider Communication	1 Institutional	Ascending	0	13,000,000		sout3182	Yes	
swe	swed1254	Swedish	svenska	Spoken & Written	Latn	National	1 Institutional	Thriving	0	12,832,785		east2781	Yes	
dcc	decc1239	Deccan			Arab	Vigorous	2 Stable	Still	0	12,800,000		mara1378	Yes	
ell	mode1248	Modern Greek	ελληνικά	Spoken & Written	Grek	National	1 Institutional	Vital	0	12,716,966		nucl1783	Yes	
hun	hung1274	Hungarian	magyar	Spoken & Written	Latn	National	1 Institutional	Thriving	0	12,228,914		hung1287	Yes	
wes	came1254	Cameroon Pidgin		Mostly Spoken (but also written)	Latn	Wider Communication	1 Institutional	Ascending	0	12,000,014		nige1258	Yes	
nds	nort2627	Low Saxon	Plattdütsch	Spoken & Written	Latn	Developing	1 Institutional	Ascending	0	11,843,242		east2291	Yes	
syl	sylh1242	Sylheti	ꠍꠤꠟꠐꠤ ꠝꠣꠔ	Spoken & Written	Sylo	Wider Communication	1 Institutional	Ascending	0	11,500,000		east2744	Yes	
sna	shon1251	Shona	chiShona	Spoken & Written	Latn	Wider Communication	1 Institutional	Vital	0	11,385,884		cent2310	Yes	
swc	cong1236	Congo Swahili			Latn	Provincial	1 Institutional	Ascending	0	11,100,019	swa	momb1256	Possibly	But probably want to use macrolanguage
hbs	sout1528	Serbo-Croatian	hrvatskosrpski	Spoken & Written	Latn				0	11,019,112		west2804	Possibly	Only when member languages (hr, sr, bs, cnr) are not distinguished
azb	sout2697	South Azerbaijani	آذربایجان دیلی	Mostly Spoken (but also written)	Arab	Wider Communication	1 Institutional	Ascending	0	10,900,000	aze	azer1255	Possibly	But probably want to use macrolanguage
aeb	tuni1259	Tunisian Arabic	تونسي	Spoken	Arab	Wider Communication	1 Institutional	Vital	0	10,800,000	ara	malt1259	Yes, with caveat	To distinguish spoken dialect
pbt	sout2649	Southern Pashto			Arab	National	1 Institutional	Vital	0	10,693,000	pus	nucl1276	Possibly	But probably want to use macrolanguage
bhb	bhil1251	Bhili	भीली		Deva	Developing	2 Stable	Ascending	0	10,574,574		bhil1254	Yes	
wol	nucl1347	Wolof	Wolof	Spoken & Written	Latn	Educational	1 Institutional	Vital	0	10,571,449		wolo1247	Yes	
kin	kiny1244	Kinyarwanda	Ikinyarwanda	Spoken & Written	Latn	National	1 Institutional	Vital	0	10,487,855		rwan1241	Yes	
ilo	ilok1237	Iloko	Ilokano	Spoken & Written	Latn	Wider Communication	1 Institutional	Ascending	0	10,314,953		nort3238	Yes	
mnp	minb1244	Min Bei Chinese	闽北	Spoken	Latn	Developing	2 Stable	Emerging	0	10,300,000	zho	inla1267	Yes	Established variant of a macrolanguage
tir	tigr1271	Tigrinya	ትግርኛ	Spoken & Written	Ethi	Provincial	1 Institutional	Vital	0	10,208,586		ethi1244	Yes	
bal	balo1260	Baluchi	بلۆچی		Arab				0	10,062,083		nort3177	Yes	
acw	hija1235	Hijazi Arabic		Spoken	Arab	Vigorous	2 Stable	Emerging	0	10,000,000	ara	arab1393	Yes, with caveat	To distinguish spoken dialect
acq	taiz1242	Ta'izzi-Adeni Arabic		Spoken	Arab	Vigorous	1 Institutional	Emerging	0	10,000,000	ara	arab1393	Yes, with caveat	To distinguish spoken dialect
