Language Code	Glottocode	Display Name	Endonym	Medium	Biggest Script	Ethnologue Vitality 2013	Ethnologue Vitality 2025	Eth Digital Support	Adjusted Populaiton	Population	Parent Language	Parent Glottocode	Recommendation	Recommendation Reason
zho	sini1245	Chinese (macrolanguage)	中文	Spoken & Written	Hans	National			1,318,465,183	1,296,041,185		sino1245	Yes, with caveat	Huge macrolanguage category with very distinct constituents -- try to include those as well as this, this usually signifies the written form, regardless of spoken language
eng	stan1293	English	English	Spoken & Written	Latn	National	1 Institutional	Thriving	1,416,924,207	1,243,492,288		macr1271	Yes	
cmn	mand1415	Mandarin Chinese	普通话	Mostly Spoken (but also written)	Hans	National	1 Institutional	Thriving	987,578,512	982,585,746	zho	mand1471	Yes, with caveat	Established variant of a macrolanguage -- many systems may label this as `zh` but it is much clearer to show both, even though there is overlap
hin	hind1269	Hindi	हिन्दी	Spoken & Written	Deva	National	1 Institutional	Thriving	811,423,809	694,325,639		hind1270	Yes	
spa	stan1288	Spanish	español	Spoken & Written	Latn	National	1 Institutional	Thriving	522,259,049	495,294,882		cast1243	Yes	
ara	arab1395	Arabic	العربية	Written	Arab	National			384,594,380	345,771,433		arab1394	Yes, with caveat	Member languages are also good to include because of significant dialectal variations
fra	stan1290	French	français	Spoken & Written	Latn	National	1 Institutional	Thriving	330,601,494	314,723,138		glob1239	Yes	
ben	beng1280	Bengali	বাংলা	Spoken & Written	Beng	National	1 Institutional	Vital	291,679,930	269,324,750		gaud1238	Yes	
por	port1283	Portuguese	português	Spoken & Written	Latn	National	1 Institutional	Thriving	247,383,351	237,766,546		braz1247	Yes	
msa	mala1538	Malay (macrolanguage)	Melayu	Spoken & Written	Latn				36,519,452	230,059,873		mala1554	Yes	There is a language code for the individual language, but most usages will just use this
ind	indo1316	Indonesian	Indonesia	Spoken & Written	Latn	National	1 Institutional	Thriving	217,586,310	198,413,080	msa	stan1327	Yes	Well established variant of the macrolanguage
rus	russ1263	Russian	русский	Spoken & Written	Cyrl	National	1 Institutional	Thriving	201,199,139	192,723,175		east1426	Yes	
urd	urdu1245	Urdu	اردو	Spoken & Written	Arab	National	1 Institutional	Vital	218,811,716	177,411,858		hind1270	Yes	
arb	stan1318	Standard Arabic	العربية الفصحى	Written	Arab	National	1 Institutional	Thriving	151,460,026	152,825,226	ara	arab1395	Yes, with caveat	To distinguish written dialect. Technically this is not a spoken language but virtually all literate Arabic dialect speakers use this for writing Arabic
swa	swah1254	Swahili (macrolanguage)	Kiswahili	Spoken & Written	Latn				185,054,460	152,711,966		saba1282	Yes	There is a language code for the individual language, but most usages will just use this
deu	stan1295	German	Deutsch	Spoken & Written	Latn	National	1 Institutional	Thriving	134,682,629	129,811,629		glob1243	Yes	
pan	panj1256	Punjabi	ਪੰਜਾਬੀ	Spoken & Written	Guru	Provincial	1 Institutional	Vital	135,394,866	128,655,912		east2727	Yes	
jpn	nucl1643	Japanese	日本語	Spoken & Written	Jpan	National	1 Institutional	Thriving	118,298,598	120,858,498		japa1258	Yes	
lah	lahn1241	Lahnda (macrolanguage)	ਲਹਿੰਦੀ	Mostly Spoken (but also written)	Arab				105,337,122	104,863,350		sind1278	Probably not	This language grouping is academically disputed
mar	mara1378	Marathi	मराठी	Spoken & Written	Deva	Provincial	1 Institutional	Vital	115,992,792	99,241,607		mode1268	Yes	
tel	telu1262	Telugu	తెలుగు	Spoken & Written	Telu	Provincial	1 Institutional	Vital	111,048,790	95,058,027		telu1265	Yes	
pnb	west2386	Western Panjabi	ਪੰਜਾਬੀ	Mostly Spoken (but also written)	Arab	Developing	2 Stable	Ascending	118,169,631	92,610,000	lah	lahn1241	Possibly	May overlap with "pa"
tam	tami1289	Tamil	தமிழ்	Spoken & Written	Taml	Provincial	1 Institutional	Thriving	97,692,889	84,433,131		tami1300	Yes	
vie	viet1252	Vietnamese	tiếng Việt	Spoken & Written	Latn	National	1 Institutional	Thriving	88,324,689	83,878,768		viet1251	Yes	
fas	fars1255	Persian (macrolanguage)	فارسی	Spoken & Written	Arab				91,489,566	82,184,394		fars1254	Yes, with caveat	In spoken context its member languages are very different
yue	yuec1235	Yue Chinese	粵語	Mostly Spoken (but also written)	Hant	Provincial	1 Institutional	Vital	82,714,745	81,036,897	zho	yuep1234	Yes	Established variant of a macrolanguage
tur	nucl1301	Turkish	Türkçe	Spoken & Written	Latn	National	1 Institutional	Thriving	84,069,137	80,031,468		west2406	Yes	
kor	kore1280	Korean	한국어	Spoken & Written	Kore	National	1 Institutional	Thriving	78,121,600	77,718,059		kore1284	Yes	
wuu	wuch1236	Wu Chinese	吳語	Mostly Spoken (but also written)	Hans	Developing	2 Stable	Ascending	80,136,060	77,216,330	zho	wuhu1234	Yes	Established variant of a macrolanguage
kur	kurd1259	Kurdish	Kurdî (Kurmancî)	Spoken & Written	Latn				753,158	72,352,297		laki1246	Yes	
ita	ital1282	Italian	Italiano	Spoken & Written	Latn	National	1 Institutional	Thriving	68,158,178	70,677,996		ital1287	Yes	
jav	java1254	Javanese	Jawa	Mostly Spoken (but also written)	Latn	Provincial	1 Institutional	Vital	75,516,221	68,500,495		glob1245	Yes	
guj	guja1252	Gujarati	ગુજરાતી	Spoken & Written	Gujr	Provincial	1 Institutional	Vital	73,176,526	62,854,955		guja1256	Yes	
