From https://www.unicode.org/cldr/charts/latest/supplemental/locale_coverage.html
Last accessed 2025-05-07
Language	English Name	Native Name	Script	Default Region	№ Locales	Target Level	≟	Computed Level	ICU	Confirmed	🄼%	ⓜ%	ⓑ%	ⓒ%	Missing Features
en	English	English	Latn	US	118	modern	≡	modern	ICU	100.00%	100.00%	100.00%	100.00%	100.00%	
fil	Filipino	Filipino	Latn	PH	1	modern	≡	modern	ICU	100.00%	100.00%	100.00%	100.00%	100.00%	
gd	Scottish Gaelic	Gàidhlig	Latn	GB	1	modern	≡	modern	ICU	100.00%	100.00%	100.00%	100.00%	100.00%	ⓜ collation, 🄼 grammar
nn	Norwegian Nynorsk	norsk nynorsk	Latn	NO	1	modern	≡	modern	ICU	99.90%	99.90%	100.00%	100.00%	100.00%	🄼 ordinals
ar	Arabic	‫العربية‬	Arab	EG	28	modern	≡	modern	ICU	99.40%	99.50%	99.90%	100.00%	100.00%	
cy	Welsh	Cymraeg	Latn	GB	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	🄼 grammar
ga	Irish	Gaeilge	Latn	IE	2	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	🄼 grammar
ja	Japanese	日本語	Jpan	JP	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
ta	Tamil	தமிழ்	Taml	IN	4	modern	≡	modern	ICU	99.80%	99.80%	99.90%	100.00%	100.00%	
lv	Latvian	latviešu	Latn	LV	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
bs	Bosnian	bosanski	Latn	BA	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	🄼 grammar
ur	Urdu	‫اردو‬	Arab	PK	2	modern	≡	modern	ICU	99.70%	99.80%	99.90%	100.00%	100.00%	
bn	Bangla	বাংলা	Beng	BD	2	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
ps	Pashto	‫پښتو‬	Arab	AF	2	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	🄼 grammar
hi_Latn	Hindi (Latin)	Hindi [Latin]	Latn	IN	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
ml	Malayalam	മലയാളം	Mlym	IN	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
hi	Hindi	हिन्दी	Deva	IN	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
tr	Turkish	Türkçe	Latn	TR	2	modern	≡	modern	ICU	99.70%	99.80%	99.90%	100.00%	100.00%	
mr	Marathi	मराठी	Deva	IN	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
am	Amharic	አማርኛ	Ethi	ET	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
gu	Gujarati	ગુજરાતી	Gujr	IN	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
kn	Kannada	ಕನ್ನಡ	Knda	IN	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
te	Telugu	తెలుగు	Telu	IN	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
or	Odia	ଓଡ଼ିଆ	Orya	IN	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	🄼 grammar
zh_Hant	Chinese (Traditional)	繁體中文	Hant	TW	0	modern	≡	modern	ICU	99.80%	99.80%	99.90%	100.00%	100.00%	🄼 grammar
zh	Chinese	中文	Hans	CN	5	modern	≡	modern	ICU	99.80%	99.90%	99.90%	100.00%	100.00%	
si	Sinhala	සිංහල	Sinh	LK	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	
mk	Macedonian	македонски	Cyrl	MK	1	modern	≡	modern	ICU	100.00%	100.00%	99.90%	100.00%	100.00%	🄼 grammar
nl	Dutch	Nederlands	Latn	NL	7	modern	≡	modern	ICU	99.70%	99.80%	99.90%	100.00%	100.00%	
