ISO 15924 (sortkey)	Display Name	Full Name	Endonym	First Unicode Version	Sample	RTL?	Language of Origin	Territory of Origin	Writing System Orig	Group of other writing systems
Berf	Beria Erfe	Beria Erfe					zag	TD	Invented	
Blis	Blissymbols	Blissymbols					zbl		Invented	
Brai	Braille	Braille		3	⠎	n/a		FR	Invented	
Chis	Chisoi	Chisoi		17	𖶓	no	kyw	IN		
Egyp	Egyptian hieroglyphs	Egyptian hieroglyphs		5.2	𓅓	no	egy	EG		
Hani	Han characters	Han (Hanzi, Kanji, Hanja)		1.1	字	no	zho	CN		
Mand	Mandaic	Mandaic, Mandaean		6	ࡀ	Yes	myz	IR	Armi	
Maya	Mayan hieroglyphs	Mayan hieroglyphs					myn	GT		
Medf	Medefaidrin	Medefaidrin (Oberi Okaime, Oberi Ɔkaimɛ)	𖹝𖹰𖹯𖹼𖹫 𖹚𖹬𖹾𖹠𖹯‎	11	𖹀	no	dmf	NG	Invented	
Mend	Mende Kikakui	Mende Kikakui		7	𞠂	Yes	men	SL	Invented	
Mong	Mongolian	Mongolian	ᠮᠣᠩᠭᠣᠯ ᠪᠢᠴᠢᠭ	3	ᠦ	no	mon	MN	Ougr	
Moon	Moon	Moon (Moon code, Moon script, Moon type)					eng	GB	Latn	
Nkdb	Naxi Dongba	Naxi Dongba (na²¹ɕi³³ to³³ba²¹, Nakhi Tomba)					nxq	CN	Unknown	
Nkgb	Naxi Geba	Naxi Geba (na²¹ɕi³³ gʌ²¹ba²¹, 'Na-'Khi ²Ggŏ-¹baw, Nakhi Geba)					nxq	CN	Unknown	
Pcun	Proto-Cuneiform	Proto-Cuneiform					sux	IQ		
Qaaa	Reserved for private use (start)	Reserved for private use (start)								
Qabx	Reserved for private use (end)	Reserved for private use (end)								
Zinh	Code for inherited script	Code for inherited script			̏	n/a				
Zmth	Mathematical notation	Mathematical notation		3.2						
Zsye	Symbols (Emoji variant)	Symbols (Emoji variant)		6						
Zsym	Symbols	Symbols		1.1						
Zxxx	Unwritten documents	Code for unwritten documents								
Zyyy	Undetermine script	Code for undetermined script			@	n/a				
Zzzz	Uncoded script	Code for uncoded script			﷐	n/a				
Egyh	Egyptian hieratic	Egyptian hieratic		5.2			egy	EG	Egyp	
Egyd	Egyptian demotic	Egyptian demotic					egy	EG	Egyh	
Merc	Meroitic Cursive	Meroitic Cursive		6.1	𐦠	Yes	xmr	SD	Egyd	
Mero	Meroitic Hieroglyphs	Meroitic Hieroglyphs		6.1	𐦀	Yes	xmr	SD	Egyp	
Psin	Proto-Sinaitic	Proto-Sinaitic					hbo	EG	Egyp	
Narb	Old North Arabian	Old North Arabian (Ancient North Arabian)		7	𐪕	Yes	xna	SA	Psin	
Phnx	Phoenician	Phoenician		5	𐤀	Yes	phn	LB	Psin	
Armi	Imperial Aramaic	Imperial Aramaic		5.2	𐡀	Yes	arc	IR	Phnx	
Brah	Brahmi	Brahmi		6	𑀅	no	pka	IN	Armi	
Bhks	Bhaiksuki	Bhaiksuki	𑰥𑰹𑰎𑰿𑰬𑰲𑰎𑰱	9	𑰎	no	san	IN	Brah	
Cham	Cham	Cham	ꨀꨇꩉ ꨌꩌ	5.1	ꨀ	no	cjm	VN	Brah	
Gran	Grantha	Grantha	𑌗𑍍𑌰𑌨𑍍𑌥	7	𑌕	no	san	IN	Brah	
Diak	Dives Akuru	Dives Akuru	𑤙𑤱𑤩𑤵𑤭𑤱 𑤀𑤌𑤳𑤧𑤳	13	𑤌	no	div	MV	Gran	
Mlym	Malayalam	Malayalam	മലയാളമെഴുത്ത്	1.1	ക	no	mal	IN	Gran	
Saur	Saurashtra	Saurashtra	ꢱꣃꢬꢵꢰ꣄ꢜ꣄ꢬ	5.1	ꢂ	no	saz	IN	Gran	
